id,register,source,fileid
inaugural_1941-Roosevelt_txt,oratorical,inaugural,1941-Roosevelt.txt
state_union_1962-Kennedy_txt,oratorical,state_union,1962-Kennedy.txt
inaugural_1961-Kennedy_txt,oratorical,inaugural,1961-Kennedy.txt
state_union_1994-Clinton_txt,oratorical,state_union,1994-Clinton.txt
inaugural_1829-Jackson_txt,oratorical,inaugural,1829-Jackson.txt
state_union_1966-Johnson_txt,oratorical,state_union,1966-Johnson.txt
state_union_1958-Eisenhower_txt,oratorical,state_union,1958-Eisenhower.txt
state_union_1992-Bush_txt,oratorical,state_union,1992-Bush.txt
inaugural_2009-Obama_txt,oratorical,inaugural,2009-Obama.txt
inaugural_1801-Jefferson_txt,oratorical,inaugural,1801-Jefferson.txt
state_union_1965-Johnson-2_txt,oratorical,state_union,1965-Johnson-2.txt
inaugural_1809-Madison_txt,oratorical,inaugural,1809-Madison.txt
state_union_2002-GWBush_txt,oratorical,state_union,2002-GWBush.txt
reuters_batch_0000,news,reuters,batch_0
reuters_batch_0001,news,reuters,batch_30
reuters_batch_0002,news,reuters,batch_60
reuters_batch_0003,news,reuters,batch_90
reuters_batch_0004,news,reuters,batch_120
reuters_batch_0005,news,reuters,batch_150
reuters_batch_0006,news,reuters,batch_180
reuters_batch_0007,news,reuters,batch_210
reuters_batch_0008,news,reuters,batch_240
reuters_batch_0009,news,reuters,batch_270
reuters_batch_0010,news,reuters,batch_300
reuters_batch_0011,news,reuters,batch_330
reuters_batch_0012,news,reuters,batch_360
reuters_batch_0013,news,reuters,batch_390
reuters_batch_0014,news,reuters,batch_420
reuters_batch_0015,news,reuters,batch_450
reuters_batch_0016,news,reuters,batch_480
reuters_batch_0017,news,reuters,batch_510
reuters_batch_0018,news,reuters,batch_540
reuters_batch_0019,news,reuters,batch_570
reuters_batch_0020,news,reuters,batch_600
reuters_batch_0021,news,reuters,batch_630
reuters_batch_0022,news,reuters,batch_660
reuters_batch_0023,news,reuters,batch_690
reuters_batch_0024,news,reuters,batch_720
reuters_batch_0025,news,reuters,batch_750
reuters_batch_0026,news,reuters,batch_780
reuters_batch_0027,news,reuters,batch_810
reuters_batch_0028,news,reuters,batch_840
reuters_batch_0029,news,reuters,batch_870
reuters_batch_0030,news,reuters,batch_900
reuters_batch_0031,news,reuters,batch_930
reuters_batch_0032,news,reuters,batch_960
reuters_batch_0033,news,reuters,batch_990
reuters_batch_0034,news,reuters,batch_1020
reuters_batch_0035,news,reuters,batch_1050
reuters_batch_0036,news,reuters,batch_1080
reuters_batch_0037,news,reuters,batch_1110
reuters_batch_0038,news,reuters,batch_1140
reuters_batch_0039,news,reuters,batch_1170
abc_rural_txt,news,abc,rural.txt
abc_science_txt,news,abc,science.txt
movie_reviews_batch_0000,reviews,movie_reviews,batch_0
movie_reviews_batch_0001,reviews,movie_reviews,batch_2
movie_reviews_batch_0002,reviews,movie_reviews,batch_4
movie_reviews_batch_0003,reviews,movie_reviews,batch_6
movie_reviews_batch_0004,reviews,movie_reviews,batch_8
movie_reviews_batch_0005,reviews,movie_reviews,batch_10
movie_reviews_batch_0006,reviews,movie_reviews,batch_12
movie_reviews_batch_0007,reviews,movie_reviews,batch_14
movie_reviews_batch_0008,reviews,movie_reviews,batch_16
movie_reviews_batch_0009,reviews,movie_reviews,batch_18
movie_reviews_batch_0010,reviews,movie_reviews,batch_20
movie_reviews_batch_0011,reviews,movie_reviews,batch_22
movie_reviews_batch_0012,reviews,movie_reviews,batch_24
movie_reviews_batch_0013,reviews,movie_reviews,batch_26
movie_reviews_batch_0014,reviews,movie_reviews,batch_28
movie_reviews_batch_0015,reviews,movie_reviews,batch_30
movie_reviews_batch_0016,reviews,movie_reviews,batch_32
movie_reviews_batch_0017,reviews,movie_reviews,batch_34
movie_reviews_batch_0018,reviews,movie_reviews,batch_36
movie_reviews_batch_0019,reviews,movie_reviews,batch_38
movie_reviews_batch_0020,reviews,movie_reviews,batch_40
movie_reviews_batch_0021,reviews,movie_reviews,batch_42
movie_reviews_batch_0022,reviews,movie_reviews,batch_44
movie_reviews_batch_0023,reviews,movie_reviews,batch_46
movie_reviews_batch_0024,reviews,movie_reviews,batch_48
movie_reviews_batch_0025,reviews,movie_reviews,batch_50
movie_reviews_batch_0026,reviews,movie_reviews,batch_52
movie_reviews_batch_0027,reviews,movie_reviews,batch_54
movie_reviews_batch_0028,reviews,movie_reviews,batch_56
movie_reviews_batch_0029,reviews,movie_reviews,batch_58
movie_reviews_batch_0030,reviews,movie_reviews,batch_60
movie_reviews_batch_0031,reviews,movie_reviews,batch_62
movie_reviews_batch_0032,reviews,movie_reviews,batch_64
movie_reviews_batch_0033,reviews,movie_reviews,batch_66
movie_reviews_batch_0034,reviews,movie_reviews,batch_68
movie_reviews_batch_0035,reviews,movie_reviews,batch_70
movie_reviews_batch_0036,reviews,movie_reviews,batch_72
movie_reviews_batch_0037,reviews,movie_reviews,batch_74
movie_reviews_batch_0038,reviews,movie_reviews,batch_76
movie_reviews_batch_0039,reviews,movie_reviews,batch_78
movie_reviews_batch_0040,reviews,movie_reviews,batch_80
movie_reviews_batch_0041,reviews,movie_reviews,batch_82
movie_reviews_batch_0042,reviews,movie_reviews,batch_84
movie_reviews_batch_0043,reviews,movie_reviews,batch_86
movie_reviews_batch_0044,reviews,movie_reviews,batch_88
movie_reviews_batch_0045,reviews,movie_reviews,batch_90
movie_reviews_batch_0046,reviews,movie_reviews,batch_92
movie_reviews_batch_0047,reviews,movie_reviews,batch_94
movie_reviews_batch_0048,reviews,movie_reviews,batch_96
movie_reviews_batch_0049,reviews,movie_reviews,batch_98
webtext_firefox_txt,web_informal,webtext,firefox.txt
webtext_grail_txt,web_informal,webtext,grail.txt
webtext_overheard_txt,web_informal,webtext,overheard.txt
webtext_pirates_txt,web_informal,webtext,pirates.txt
webtext_singles_txt,web_informal,webtext,singles.txt
webtext_wine_txt,web_informal,webtext,wine.txt
nps_chat_10-19-20s_706posts_xml,web_informal,nps_chat,10-19-20s_706posts.xml
nps_chat_10-19-30s_705posts_xml,web_informal,nps_chat,10-19-30s_705posts.xml
nps_chat_10-19-40s_686posts_xml,web_informal,nps_chat,10-19-40s_686posts.xml
nps_chat_10-19-adults_706posts_xml,web_informal,nps_chat,10-19-adults_706posts.xml
nps_chat_10-24-40s_706posts_xml,web_informal,nps_chat,10-24-40s_706posts.xml
nps_chat_10-26-teens_706posts_xml,web_informal,nps_chat,10-26-teens_706posts.xml
nps_chat_11-06-adults_706posts_xml,web_informal,nps_chat,11-06-adults_706posts.xml
nps_chat_11-08-20s_705posts_xml,web_informal,nps_chat,11-08-20s_705posts.xml
nps_chat_11-08-40s_706posts_xml,web_informal,nps_chat,11-08-40s_706posts.xml
nps_chat_11-08-adults_705posts_xml,web_informal,nps_chat,11-08-adults_705posts.xml
nps_chat_11-08-teens_706posts_xml,web_informal,nps_chat,11-08-teens_706posts.xml
nps_chat_11-09-20s_706posts_xml,web_informal,nps_chat,11-09-20s_706posts.xml
nps_chat_11-09-40s_706posts_xml,web_informal,nps_chat,11-09-40s_706posts.xml
nps_chat_11-09-adults_706posts_xml,web_informal,nps_chat,11-09-adults_706posts.xml
nps_chat_11-09-teens_706posts_xml,web_informal,nps_chat,11-09-teens_706posts.xml
