id,register,fileid
cg07,belles_lettres,cg07
cg08,belles_lettres,cg08
cg09,belles_lettres,cg09
cg10,belles_lettres,cg10
cg11,belles_lettres,cg11
cg12,belles_lettres,cg12
cg13,belles_lettres,cg13
cg14,belles_lettres,cg14
cg15,belles_lettres,cg15
cg16,belles_lettres,cg16
cg17,belles_lettres,cg17
cg18,belles_lettres,cg18
cg19,belles_lettres,cg19
cg20,belles_lettres,cg20
cg21,belles_lettres,cg21
cg22,belles_lettres,cg22
cg23,belles_lettres,cg23
cg24,belles_lettres,cg24
cg25,belles_lettres,cg25
cg26,belles_lettres,cg26
cg27,belles_lettres,cg27
cg28,belles_lettres,cg28
cg29,belles_lettres,cg29
cg30,belles_lettres,cg30
cg31,belles_lettres,cg31
cg32,belles_lettres,cg32
cg33,belles_lettres,cg33
cg34,belles_lettres,cg34
cg35,belles_lettres,cg35
cg36,belles_lettres,cg36
cg37,belles_lettres,cg37
cg38,belles_lettres,cg38
cg39,belles_lettres,cg39
cg40,belles_lettres,cg40
cg41,belles_lettres,cg41
cg42,belles_lettres,cg42
cg43,belles_lettres,cg43
cg44,belles_lettres,cg44
cg45,belles_lettres,cg45
cg46,belles_lettres,cg46
cg47,belles_lettres,cg47
cg48,belles_lettres,cg48
cg49,belles_lettres,cg49
cg50,belles_lettres,cg50
cg51,belles_lettres,cg51
cg52,belles_lettres,cg52
cg53,belles_lettres,cg53
cg54,belles_lettres,cg54
cg55,belles_lettres,cg55
cg56,belles_lettres,cg56
cg57,belles_lettres,cg57
cg58,belles_lettres,cg58
cg59,belles_lettres,cg59
cg60,belles_lettres,cg60
cg61,belles_lettres,cg61
cg62,belles_lettres,cg62
cg63,belles_lettres,cg63
cg64,belles_lettres,cg64
cg65,belles_lettres,cg65
cg66,belles_lettres,cg66
cg67,belles_lettres,cg67
cg68,belles_lettres,cg68
cg69,belles_lettres,cg69
cg70,belles_lettres,cg70
cg71,belles_lettres,cg71
cg72,belles_lettres,cg72
cg73,belles_lettres,cg73
cg74,belles_lettres,cg74
cg75,belles_lettres,cg75
ch01,government,ch01
ch02,government,ch02
ch03,government,ch03
ch04,government,ch04
ch05,government,ch05
ch06,government,ch06
ch07,government,ch07
ch08,government,ch08
ch09,government,ch09
ch10,government,ch10
ch11,government,ch11
ch12,government,ch12
ch13,government,ch13
ch14,government,ch14
ch15,government,ch15
ch16,government,ch16
ch17,government,ch17
ch18,government,ch18
ch19,government,ch19
ch20,government,ch20
ch21,government,ch21
ch22,government,ch22
ch23,government,ch23
ch24,government,ch24
ch25,government,ch25
ch26,government,ch26
ch27,government,ch27
ch28,government,ch28
ch29,government,ch29
ch30,government,ch30
cj01,learned,cj01
cj02,learned,cj02
cj03,learned,cj03
cj04,learned,cj04
cj05,learned,cj05
cj06,learned,cj06
cj07,learned,cj07
cj08,learned,cj08
cj09,learned,cj09
cj10,learned,cj10
cj11,learned,cj11
cj12,learned,cj12
cj13,learned,cj13
cj14,learned,cj14
cj15,learned,cj15
cj16,learned,cj16
cj17,learned,cj17
cj18,learned,cj18
cj19,learned,cj19
cj20,learned,cj20
cj21,learned,cj21
cj22,learned,cj22
cj23,learned,cj23
cj24,learned,cj24
cj25,learned,cj25
cj26,learned,cj26
cj27,learned,cj27
cj28,learned,cj28
cj29,learned,cj29
cj30,learned,cj30
cj31,learned,cj31
cj32,learned,cj32
cj33,learned,cj33
cj34,learned,cj34
cj35,learned,cj35
cj36,learned,cj36
cj37,learned,cj37
cj38,learned,cj38
cj39,learned,cj39
cj40,learned,cj40
cj41,learned,cj41
cj42,learned,cj42
cj43,learned,cj43
cj44,learned,cj44
cj45,learned,cj45
cj46,learned,cj46
cj47,learned,cj47
cj48,learned,cj48
cj49,learned,cj49
cj50,learned,cj50
cj51,learned,cj51
cj52,learned,cj52
cj53,learned,cj53
cj54,learned,cj54
cj55,learned,cj55
cj56,learned,cj56
cj57,learned,cj57
cj58,learned,cj58
cj59,learned,cj59
cj60,learned,cj60
cj61,learned,cj61
cj62,learned,cj62
cj63,learned,cj63
cj64,learned,cj64
cj65,learned,cj65
cj66,learned,cj66
cj67,learned,cj67
cj68,learned,cj68
cj69,learned,cj69
cj70,learned,cj70
cj71,learned,cj71
cj72,learned,cj72
cj73,learned,cj73
cj74,learned,cj74
cj75,learned,cj75
cj76,learned,cj76
cj77,learned,cj77
cj78,learned,cj78
cj79,learned,cj79
cj80,learned,cj80
ck01,fiction,ck01
ck02,fiction,ck02
ck03,fiction,ck03
ck04,fiction,ck04
ck05,fiction,ck05
ck06,fiction,ck06
ck07,fiction,ck07
ck08,fiction,ck08
ck09,fiction,ck09
ck10,fiction,ck10
ck11,fiction,ck11
ck12,fiction,ck12
ck13,fiction,ck13
ck14,fiction,ck14
ck15,fiction,ck15
ck16,fiction,ck16
ck17,fiction,ck17
ck18,fiction,ck18
ck19,fiction,ck19
ck20,fiction,ck20
ck21,fiction,ck21
ck22,fiction,ck22
ck23,fiction,ck23
ck24,fiction,ck24
ck25,fiction,ck25
ck26,fiction,ck26
ck27,fiction,ck27
ck28,fiction,ck28
ck29,fiction,ck29
cl01,mystery,cl01
cl02,mystery,cl02
cl03,mystery,cl03
cl04,mystery,cl04
cl05,mystery,cl05
cl06,mystery,cl06
cl07,mystery,cl07
cl08,mystery,cl08
cl09,mystery,cl09
cl10,mystery,cl10
cl11,mystery,cl11
cl12,mystery,cl12
cl13,mystery,cl13
cl14,mystery,cl14
cl15,mystery,cl15
cl16,mystery,cl16
cl17,mystery,cl17
cl18,mystery,cl18
cl19,mystery,cl19
cl20,mystery,cl20
cl21,mystery,cl21
cl22,mystery,cl22
cl23,mystery,cl23
cl24,mystery,cl24
cm01,science_fiction,cm01
cm02,science_fiction,cm02
cm03,science_fiction,cm03
cm04,science_fiction,cm04
cm05,science_fiction,cm05
cm06,science_fiction,cm06
cn01,adventure,cn01
cn02,adventure,cn02
cn03,adventure,cn03
cn04,adventure,cn04
cn05,adventure,cn05
cn06,adventure,cn06
cn07,adventure,cn07
cn08,adventure,cn08
cn09,adventure,cn09
cn10,adventure,cn10
cn11,adventure,cn11
cn12,adventure,cn12
cn13,adventure,cn13
cn14,adventure,cn14
cn15,adventure,cn15
cn16,adventure,cn16
cn17,adventure,cn17
cn18,adventure,cn18
cn19,adventure,cn19
cn20,adventure,cn20
cn21,adventure,cn21
cn22,adventure,cn22
cn23,adventure,cn23
cn24,adventure,cn24
cn25,adventure,cn25
cn26,adventure,cn26
cn27,adventure,cn27
cn28,adventure,cn28
cn29,adventure,cn29
cp01,romance,cp01
cp02,romance,cp02
cp03,romance,cp03
cp04,romance,cp04
cp05,romance,cp05
cp06,romance,cp06
cp07,romance,cp07
cp08,romance,cp08
cp09,romance,cp09
cp10,romance,cp10
cp11,romance,cp11
cp12,romance,cp12
cp13,romance,cp13
cp14,romance,cp14
cp15,romance,cp15
cp16,romance,cp16
cp17,romance,cp17
cp18,romance,cp18
cp19,romance,cp19
cp20,romance,cp20
cp21,romance,cp21
cp22,romance,cp22
cp23,romance,cp23
cp24,romance,cp24
cp25,romance,cp25
cp26,romance,cp26
cp27,romance,cp27
cp28,romance,cp28
cp29,romance,cp29
cr01,humor,cr01
cr02,humor,cr02
cr03,humor,cr03
cr04,humor,cr04
cr05,humor,cr05
cr06,humor,cr06
cr07,humor,cr07
cr08,humor,cr08
cr09,humor,cr09
